time,cdp409,cdp410,cdp412,cdp413
3.216,-2681,-5649,-8556,-10682
3.22,-2452,-2661,-2980,-3881
3.224,-2579,-2472,-2639,-2308
3.228,-5066,-1973,-2485,-1155
3.232,-10407,-6513,-2334,153
3.236,-7517,-4267,-1535,1419
3.24,-2219,-1867,1669,1999
3.244,2464,2531,2760,2215
3.248,7753,6544,1997,2148
3.252,9308,5517,2455,1610
3.256,5116,2602,302,409
3.26,1423,1924,-1278,74
3.264,1725,2298,622,1515
3.268,3968,2909,2503,2164
3.272,3032,6212,1048,2089
3.276,2216,2763,2121,-31
3.28,-2214,-1753,-2367,-2751
3.284,-9613,-10122,-9589,-8233
3.288,-15168,-15925,-12676,-9927
3.292,-15980,-15868,-9372,-4636
3.296,-12865,-11322,-378,-2401
3.3,-3362,-2683,-1844,-1222
3.304,-1017,1,-321,290
3.308,2454,2276,1397,2006
3.312,4865,1825,2695,1379
3.316,10400,8844,10345,10726
3.32,13283,14025,15751,14916
3.324,14993,16738,17389,15911
3.328,13615,15161,13544,11886
3.332,3023,3748,2441,2029
3.336,-2256,-2537,-3983,-6270
3.34,-12962,-15114,-16341,-16811
3.344,-16094,-18240,-17872,-17458
3.348,-11843,-13009,-12402,-11144
3.352,-2511,-2528,-2561,-2154
3.356,139,366,-21,1190
3.36,-116,-47,61,153
3.364,-2132,-2097,-1197,-1710
3.368,-2295,-2011,197,-747
3.372,147,1817,575,2717
3.376,2266,6226,11535,12243
3.38,11282,11775,12837,14389
3.384,10192,6996,4836,6971
3.388,2681,1820,-184,-1176
3.392,-1462,-2438,-3618,-9056
3.396,-2689,-1377,-6456,-12315
3.4,-2415,-2182,-2489,-3093
3.404,-117,1770,1770,1308
3.408,2103,2684,403,2903
3.412,1707,2162,2305,1669
3.416,-2108,-2230,-2112,124
3.42,-7911,-10122,-8683,-3914
3.424,-14371,-14836,-13608,-11919
3.428,-14386,-13691,-12144,-10245
3.432,-6053,-2885,-487,-2557
3.436,1483,2269,2290,2304
3.44,13052,14713,13399,11839
3.444,22198,22515,20501,17722
3.448,23914,23351,21944,18911
3.452,20962,18198,16020,13546
3.456,6384,2696,2316,1842
3.46,-3170,-9165,-10250,-10256
3.464,-20243,-21599,-20838,-19529
3.468,-23354,-23049,-21779,-20014
3.472,-17948,-16013,-13242,-12134
3.476,-2616,-2090,-163,-110
3.48,2403,5118,8171,8347
3.484,9924,10694,11514,12522
3.488,2718,2655,2699,3519
3.492,-2516,-2621,-2635,-1838
3.496,-12424,-12705,-13318,-10016
3.5,-13541,-13539,-14888,-13056
3.504,-1751,-1270,-4336,-6087
3.508,1473,1909,2743,537
3.512,18904,18774,17683,9771
3.516,23657,23338,22316,16505
3.52,21634,20572,17822,16312
3.524,10239,7827,5124,10388
3.528,-1777,-2157,-813,2190
3.532,-11619,-11741,-664,-2204
3.536,-15724,-14848,-4725,-3880
3.54,-15709,-14018,-7060,-8396
3.544,-13495,-11457,-8951,-8978
3.548,-8008,-4341,-7684,-4862
3.552,-2244,-1851,-519,-2322
3.556,2454,2478,24,1424
3.56,9591,8573,2726,2731
3.564,11242,11171,2863,655
3.568,331,2610,2336,1857
3.572,-2251,-1513,-1999,-2338
3.576,-11122,-9644,-5936,-7286
3.58,-13118,-14851,-10271,-10933
3.584,-6109,-12483,-5169,-5628
3.588,103,-2407,-1748,-1817
3.592,9158,3475,472,679
3.596,19335,18128,14407,14751
3.6,23999,23799,21868,22259
3.604,24351,24101,23375,23535
3.608,18409,17645,18276,18566
3.612,1364,1020,2012,2143
3.616,-19904,-18858,-17051,-16511
3.62,-29498,-28028,-26849,-26495
3.624,-31726,-29505,-27640,-27244
3.628,-26537,-24185,-21207,-20521
3.632,-9351,-2685,-1989,-1822
3.636,11340,12147,13656,13413
3.64,23543,22798,21177,20257
3.644,23960,22861,18811,17414
3.648,15829,14588,8262,5483
3.652,1877,1945,-914,-1676
3.656,-3063,-1669,-4891,-6818
3.66,-6485,-6129,-7042,-9969
3.664,-2387,-2669,-2661,-2904
3.668,2303,780,989,-155
3.672,10364,1815,1896,3572
3.676,15115,10858,9354,13308
3.68,15026,13032,11102,14841
3.684,7013,8902,3757,8724
3.688,-1967,222,-1419,-885
3.692,-16544,-13075,-12817,-13594
3.696,-24658,-23283,-21014,-22241
3.7,-25444,-24664,-21271,-22216
3.704,-19938,-19431,-13301,-13255
3.708,-2661,-2661,-1275,144
3.712,6897,6922,7556,11977
3.716,17051,17130,15153,17747
3.72,18157,17973,16092,17353
3.724,15135,14501,14201,13556
3.728,11538,10136,11295,7210
3.732,6814,4882,4132,2627
3.736,1670,2741,1964,-102
3.74,1605,880,-2397,-2340
3.744,-2660,-271,-10236,-13587
3.748,-11799,-11944,-15012,-17579
3.752,-14778,-14547,-14710,-15989
3.756,-12384,-11800,-7155,-6407
3.76,-1438,-2663,-194,1045
3.764,-100,1598,2996,7004
3.768,2130,2654,7704,11901
3.772,1613,2163,93,5889
3.776,-1854,-2014,-1662,110
3.78,-2244,-5994,-6969,-6282
3.784,-4686,-10221,-11903,-13908
3.788,-2312,-1545,-5474,-11139
3.792,158,2429,1425,117
3.796,16849,17103,14169,15526
3.8,23794,24621,23381,24798
3.804,24711,25789,24769,25727
3.808,20596,22386,20063,19786
3.812,2423,4734,2568,2153
3.816,-9343,-10135,-13302,-14744
3.82,-23507,-24783,-24912,-25197
3.824,-27068,-29060,-27891,-27932
3.828,-25933,-27572,-25946,-25847
3.832,-19570,-20127,-17136,-16149
3.836,-734,-2232,162,1929
3.84,1943,10799,16811,19575
3.844,14182,18521,24079,25188
3.848,15429,18065,23018,23546
3.852,11014,11427,12250,12299
3.856,2425,2108,-1541,-1988
3.86,-1196,-2090,-9139,-12571
3.864,-1658,-2131,-7952,-14000
3.868,1449,1075,-2086,-5661
3.872,2702,2670,2315,-929
3.876,2679,2708,2664,2216
3.88,616,1002,1464,2096
3.884,-2498,-2458,-2111,32
3.888,-2639,-439,-2376,-124
3.892,807,-1376,-414,1979
3.896,7893,1863,2581,1662
3.9,14685,12261,4934,5191
3.904,11683,11207,2232,1458
3.908,981,2072,1064,1206
3.912,-12180,-7365,-1223,-6
3.916,-21208,-18918,-11859,-11750
3.92,-22037,-21584,-13615,-14571
3.924,-14918,-16111,-9911,-12052
3.928,-2259,-2698,-2265,-2561
3.932,4080,1651,2558,2494
3.936,14552,14569,9696,10957
3.94,15644,16910,11207,12044
3.944,11257,12916,2645,2690
3.948,2202,2419,-214,-1524
3.952,-362,-985,-3838,-6657
3.956,-12646,-13292,-10756,-10354
3.96,-14507,-14178,-6481,-1166
3.964,-8180,-4430,-1068,2106
3.968,842,2289,8571,12714
3.972,12628,14897,19293,19612
3.976,19728,20386,21883,20145
3.98,18064,16749,14629,12514
3.984,5639,2774,-102,-1426
3.988,-2397,-3556,-15052,-15886
3.992,-12723,-15374,-22381,-23022
3.996,-14077,-15580,-19751,-21831
4,-6793,-8029,-9360,-12485
4.004,-1461,-1470,-154,-1623
4.008,2333,2481,2749,2563
4.012,2581,139,56,2747
4.016,1733,1806,1643,1820
4.02,-1738,-2215,-1934,-1230
4.024,-2737,-3129,-2508,-1649
4.028,-1303,-2233,-1919,1350
4.032,-2394,-1692,2185,3556
4.036,632,2572,9203,13327
4.04,1356,9984,15247,16418
4.044,9859,13106,15528,14778
4.048,11241,11214,9071,5480
4.052,3839,2730,903,-1176
4.056,86,-1827,-5087,-9464
4.06,-2545,-5912,-13194,-15582
4.064,-10362,-10744,-12960,-15454
4.068,-8675,-7053,-6615,-11195
4.072,-211,-2572,-2378,-407
4.076,-861,-265,-719,-1446
4.08,1822,1587,69,998
4.084,2116,1628,-555,1705
4.088,1499,745,-1382,1521
4.092,-66,-351,-1435,88
4.096,-1471,-1240,-774,-1298
4.1,-498,-591,1259,-104
4.104,2120,1781,2764,2653
4.108,4732,3234,11512,12604
4.112,11993,12256,16432,18126
4.116,12483,13760,16200,17135
4.12,4840,6940,6161,5247
4.124,-1001,-1329,-2492,-861
4.128,-11959,-13468,-17694,-19723
4.132,-20921,-22317,-23835,-24645
4.136,-23153,-23350,-23311,-23492
4.14,-19702,-18897,-15431,-14176
4.144,-7237,-4298,-2019,-161
4.148,2480,234,7633,11768
4.152,17494,17872,17862,19387
4.156,24625,24167,22187,22336
4.16,26015,25116,22247,21237
4.164,22991,21930,17055,15498
4.168,8010,5627,673,2644
4.172,-5191,-6293,-6681,-5683
4.176,-22393,-22394,-21383,-20220
4.18,-24973,-24602,-23761,-23553
4.184,-21979,-20346,-18521,-19207
4.188,-6498,-2283,-2573,-28
4.192,2662,2710,7619,6730
4.196,13087,14380,17611,16779
4.2,11948,13193,16900,14828
4.204,2232,2629,4973,2771
4.208,-3425,-684,-2597,-512
4.212,-14147,-14078,-16058,-14535
4.216,-13772,-15532,-20811,-18009
4.22,-869,-7445,-16999,-15231
4.224,1382,1786,-768,-1942
4.228,17797,14170,5366,518
4.232,22760,21798,20236,17694
4.236,20193,22020,23878,23497
4.24,9964,14999,22303,23414
4.244,-835,2386,12678,17578
4.248,-7478,-1931,809,1436
4.252,-12425,-12966,-6630,-74
4.256,-9697,-13897,-13981,-14340
4.26,-109,-9349,-14506,-17809
4.264,-1328,-2607,-11976,-16446
4.268,105,-1165,-5224,-12281
4.272,-1204,-768,-2444,-2877
4.276,-2222,-1842,-159,-1307
4.28,-2514,-2143,2260,2392
4.284,-2609,-1704,566,2939
4.288,-299,-1304,2531,2775
4.292,-3115,-2160,-1371,-759
4.296,-3104,-1605,-7434,-5884
4.3,-2229,-3009,-13427,-11974
4.304,2486,-1516,-7213,-3087
4.308,13454,7086,2080,2606
4.312,19882,19829,16119,17599
4.316,20570,23216,22834,23034
4.32,14968,19176,21156,20208
4.324,2758,3407,11599,7776
4.328,-2315,-2690,185,-1699
4.332,-6272,-12045,-3273,-5814
4.336,-5627,-11228,-7809,-5951
4.34,-2685,-675,-4685,-2715
4.344,-2256,-1697,-163,-2225
4.348,-901,-2335,-2697,-2666
4.352,-11632,-9488,-3389,-7967
4.356,-15954,-16096,-9463,-13650
4.36,-14764,-15630,-11805,-14724
4.364,-3385,-4835,-8711,-11645
4.368,2156,2040,-2579,-2669
4.372,10353,10412,1642,2013
4.376,12529,13445,4808,6886
4.38,8443,12091,12255,12668
4.384,2614,9030,14379,14091
4.388,3079,7474,14347,14414
4.392,8732,6428,12333,13942
4.396,11534,1710,6414,11842
4.4,5231,1490,2474,3382
4.404,-56,-2456,-182,521
4.408,-9147,-6495,-2715,-1224
4.412,-15597,-9320,-7986,-10346
4.416,-13814,-4843,-11546,-11603
4.42,-2389,-2261,-8285,-6828
4.424,-79,158,-2608,-2596
4.428,1127,66,-950,-1785
4.432,-2246,-2312,-1756,-2287
4.436,-6352,-6822,-5975,-6820
4.44,-6712,-10917,-15242,-14785
4.444,-1880,-3493,-15655,-15548
4.448,2891,819,-2708,-4309
4.452,13631,7954,4759,2784
4.456,14876,15417,22069,21746
4.46,12116,16997,25628,25800
4.464,4962,14479,24173,24406
4.468,2349,6557,15370,15445
4.472,-795,1445,1617,1185
4.476,-2755,-262,-7648,-10217
4.48,-5474,-10251,-15245,-16266
4.484,-4794,-11943,-15109,-14834
4.488,-2751,-7629,-9660,-6514
4.492,-2192,-2590,-2369,-1721
4.496,-1974,-888,1249,2023
4.5,-1983,787,2198,2475
4.504,-1493,897,1809,2180
4.508,782,1126,-151,-158
4.512,2203,1645,-2109,-2613
4.516,2353,1613,-2682,-7053
4.52,1458,-49,-2919,-11345
4.524,-2096,-2384,-4471,-9905
4.528,-1691,-1465,-1198,-736
4.532,-1305,-2590,-1018,1806
4.536,-1276,862,3059,12076
4.54,973,5054,15203,19901
4.544,11356,12711,18873,21663
4.548,11467,11630,14993,15689
4.552,2611,2690,2543,2441
4.556,950,-2015,-2835,-4414
4.56,-2142,-3075,-13672,-15236
4.564,-2392,-1353,-12744,-15571
4.568,-2179,-1791,-1176,-7515
4.572,-1744,1288,1573,151
4.576,-1531,1854,3588,5768
4.58,-1461,1627,7098,11148
4.584,-834,1495,2977,3249
4.588,160,1425,1675,-796
4.592,726,-3,-2582,-5233
4.596,-1592,-2619,-10823,-11605
4.6,-2736,-9977,-14293,-10421
4.604,-11557,-13582,-13130,-4021
4.608,-11644,-11212,-3973,-2373
4.612,-7,-2360,237,-121
4.616,2464,2647,4103,2223
4.62,12980,11390,10869,2645
4.624,16271,12916,8921,6029
4.628,13436,9374,2205,3511
4.632,3526,1230,2331,2525
4.636,1612,2237,2142,2150
4.64,-1124,1934,2393,2373
4.644,-1938,1620,2574,53
4.648,-2430,-101,2140,75
4.652,-1874,-2473,-1499,2091
4.656,-4699,-4378,-2922,-1904
4.66,-2190,-5102,-9446,-5738
4.664,-2045,-2582,-8427,-12541
4.668,1798,291,-732,-12080
4.672,270,2578,-227,-2264
4.676,877,134,2442,175
4.68,1972,1791,2739,2505
4.684,-2321,-2531,1565,2051
4.688,-9441,-11528,-2593,-2082
4.692,-13524,-14481,-7318,-2142
4.696,-9841,-9449,-2829,-2523
4.7,-1147,398,1577,2202
4.704,10423,13074,11551,11830
4.708,19495,20361,15754,15415
4.712,20235,18143,11703,11382
4.716,12143,4832,1881,1794
4.72,-332,-2348,-1273,-1255
4.724,-9669,-9841,-6924,-5799
4.728,-12004,-6675,-2663,-2335
4.732,-320,-1315,1825,2278
4.736,2037,1559,3839,3416
4.74,2369,5664,1881,2398
4.744,2366,2186,-96,-2406
4.748,-2265,-970,-6248,-11227
4.752,-10218,-13680,-13002,-12586
4.756,-13787,-15618,-11181,-4210
4.76,-11834,-11572,-2754,-69
4.764,-1815,-2502,23,2461
4.768,-137,1758,1966,2408
4.772,2529,1155,1851,797
4.776,5938,5071,1617,-1478
4.78,12277,8590,2326,-88
4.784,15042,12138,5403,2651
4.788,14295,12989,12421,9815
4.792,5246,7633,12088,11532
4.796,-1635,755,10,149
4.8,-11477,-7679,-2546,-2625
4.804,-16061,-15922,-13244,-13933
4.808,-13920,-15625,-15704,-15759
4.812,-2704,-6787,-10333,-8200
4.816,1183,720,-1127,3
4.82,2979,6353,4519,6943
4.824,6932,11265,11631,13037
4.828,2876,4085,7692,11644
4.832,1803,856,2354,1434
4.836,-2006,-2482,-1312,-18
4.84,-2462,-2679,-2331,-2342
4.844,-1363,-1498,-2176,-2216
4.848,2459,2376,-560,-97
4.852,6460,5251,1496,1692
4.856,6789,5261,1353,147
4.86,2305,2151,-1673,-2594
4.864,-133,-2714,-1877,-9302
4.868,-15010,-13012,-7913,-13242
4.872,-19788,-16762,-8183,-12817
4.876,-17305,-15182,-3855,-6717
4.88,-6032,-7199,-2353,-1684
4.884,2021,-1028,1324,2185
4.888,12049,2400,4109,14155
4.892,16304,12406,12564,17078
4.896,14268,14598,12834,13414
4.9,4014,12453,4127,2548
4.904,-115,1993,91,-2436
4.908,-2673,3,-2260,-3163
4.912,-2635,-2097,-950,-1656
4.916,903,623,1636,5213
4.92,9922,6569,13639,16173
4.924,18652,16104,15602,16048
4.928,18617,15529,7014,1293
4.932,2480,2244,-3,-8614
4.936,-13672,-17011,-22866,-23915
4.94,-27891,-29141,-29407,-28217
4.944,-32245,-32567,-29789,-26960
4.948,-28257,-27407,-22939,-18309
4.952,-12542,-6962,-525,1464
4.956,13231,17009,21888,21073
4.96,27186,28290,28521,27780
4.964,29772,29588,28226,27877
4.968,25370,24229,22232,21433
4.972,11227,6291,2576,1824
4.976,-1701,-4763,-11582,-15601
4.98,-17688,-18076,-21307,-23562
4.984,-19725,-19317,-21648,-22625
4.988,-13768,-12862,-13447,-12393
4.992,-2347,-2016,-858,1579
4.996,2720,2131,10157,13934
5,9263,11620,16761,19971
5.004,9089,11580,16044,18558
5.008,2541,5044,9145,11568
5.012,2131,2307,2008,2021
5.016,165,134,-2190,-2648
5.02,-781,-1662,-1249,-8871
5.024,-1445,-2230,-3244,-12106
5.028,-2289,-2659,-3634,-11673
5.032,-4129,-4462,-3510,-7265
5.036,-11792,-11184,-3378,-2774
5.04,-12898,-13259,-3636,-1732
5.044,-6827,-11337,-3352,-67
5.048,-1101,-2538,-189,-1020
5.052,3072,2472,-1741,-2034
5.056,11719,10562,1913,-2137
5.06,11005,12138,1229,-406
5.064,2141,6882,5021,2377
5.068,1543,2490,5056,5708
5.072,-1391,826,2513,10408
5.076,-1952,-755,2700,9348
5.08,-1944,-41,2521,5114
5.084,-1202,1559,2753,2646
5.088,1813,2651,4125,4147
5.092,3291,5406,7001,5515
5.096,9944,6853,2468,2699
5.1,5928,2586,-940,-2178
5.104,318,-2482,-12103,-13817
5.108,-8482,-14462,-20760,-20898
5.112,-16535,-19441,-21083,-19971
5.116,-15755,-15823,-12421,-11391
5.12,-5454,-526,-160,-114
5.124,912,2469,4958,3892
5.128,2040,7279,6969,5139
5.132,2893,4522,2532,2177
5.136,2488,2192,-835,-2100
5.14,1506,-787,-2299,-317
5.144,-327,-1936,-2206,-2526
5.148,-2074,-2066,-1389,-1166
5.152,-2622,-2099,159,1653
5.156,-2701,-1917,1506,2327
5.16,-1883,-163,2277,2702
5.164,1959,2283,1761,4217
5.168,1840,3010,7204,10259
5.172,3710,4707,8596,12289
5.176,1314,1158,4385,10212
5.18,564,2443,2413,1059
5.184,5159,2543,1169,502
5.188,11484,3293,144,-2322
5.192,11741,6495,134,-983
5.196,427,2780,-1308,-3069
5.2,-520,-2292,-2781,-5711
5.204,-18831,-15482,-11658,-10970
5.208,-24939,-23400,-17195,-14201
5.212,-25166,-24309,-19503,-15542
5.216,-19882,-19945,-16758,-13068
5.22,-2587,-4880,-7195,-2576
5.224,2751,2498,317,836
5.228,13147,12641,5614,2972
5.232,15574,14915,12303,9392
5.236,14202,13136,13231,11466
5.24,11012,10131,13569,13093
5.244,4999,7709,14679,16312
5.248,2222,7776,15838,19371
5.252,3670,8267,15102,18778
5.256,7003,7148,10600,12221
5.26,7012,2360,2125,435
5.264,2611,1407,-3256,-12485
5.268,-2391,-2870,-16767,-22321
5.272,-15069,-16472,-22427,-24047
5.276,-22904,-22544,-22309,-21963
5.28,-23478,-22078,-15840,-12530
5.284,-16758,-13318,-2734,-1298
5.288,-2088,-113,2613,3825
5.292,9837,10865,10184,10351
5.296,16646,14571,7996,4358
5.3,13588,8106,2072,31
5.304,2479,147,-2722,-3426
5.308,-2715,-3678,-7672,-9598
5.312,-9637,-7283,-2133,-997
5.316,-6614,-2616,1637,2494
5.32,-1578,2163,12201,16350
5.324,5060,11737,20028,23304
5.328,17193,18441,22424,23683
5.332,21955,20867,19005,18251
5.336,19310,16843,8274,369
5.34,5104,2763,-2307,-6704
5.344,-6774,-10428,-17665,-21469
5.348,-23594,-23918,-24778,-25060
5.352,-26896,-26777,-25171,-24010
5.356,-23382,-23163,-19028,-15854
5.36,-3534,-3111,-2357,-1695
5.364,10156,10573,10280,9423
5.368,20556,21194,18615,16398
5.372,19677,20531,17527,14887
5.376,11643,11762,7998,4264
5.38,1764,858,-299,-1206
5.384,-2723,-3689,-5297,-4851
5.388,-9017,-11471,-11517,-10164
5.392,-12259,-12003,-10161,-7376
5.396,-11382,-8560,-2296,-2619
5.4,-2409,-2664,-656,1349
5.404,970,1730,2015,6062
5.408,7579,9022,13510,15273
5.412,15028,15875,17839,19139
5.416,15579,16539,17310,18071
5.42,10639,11358,10988,11114
5.424,2187,1985,238,-647
5.428,-2438,-833,-10785,-13816
5.432,-6346,-11276,-18817,-22672
5.436,-8659,-12341,-19871,-23161
5.44,-5819,-8653,-13917,-16193
5.444,-2735,-2706,-2426,-2300
5.448,-1278,70,2586,3552
5.452,1988,2486,7873,12422
5.456,2450,753,7622,11234
5.46,1870,2331,2772,980
5.464,-1866,-1470,-579,-600
5.468,-3539,-4270,-3745,-3130
5.472,-8951,-11518,-12140,-11474
5.476,-6770,-9791,-11535,-11040
5.48,-2336,-2385,-2450,-2454
5.484,2520,845,3835,3772
5.488,13512,15714,18454,18894
5.492,19757,21341,22921,23256
5.496,20333,20500,20598,20658
5.5,14600,13319,10355,8030
